"storm_year","max_residual","mean_sea_level"
1958,54.9305237178662,165.731144662921
1959,55.1232853522758,171.41628440367
1960,48.1232855054838,163.5870582617
1961,55.6481480498429,163.521584507042
1963,72.1547147176425,163.738924199623
1964,64.5132388097266,168.454684557439
1965,59.1646113547321,164.409576023392
1972,50.6308260943981,166.698340201465
1973,58.9667420363876,177.481520644512
1974,45.0279663885321,166.056825506446
1975,71.3440350145358,169.7702181987
1978,62.0551468266675,157.19636722377
1979,60.1994130194869,159.721769406393
1980,55.516331215807,162.256924546323
1981,59.1211483507315,160.147534246575
1984,48.3823725112189,171.499208473984
1985,46.4658220263851,162.601459940653
1986,46.9699008772558,165.621464285714
1987,51.2766472808425,162.352511415525
1988,56.3822137647079,164.353392857143
1989,64.8595974062207,176.744680365297
1990,55.5465721746931,174.742762557078
1992,55.5104291116609,174.151514116576
1993,65.4456580576404,171.860484544695
1994,48.3897279139922,164.027247119078
1995,44.3956653415427,170.816796030029
1996,51.7582320778043,166.115876863411
1997,62.4949977901541,167.330867579909
1998,52.2324943464942,166.022591324201
1999,51.4443131332189,166.394257990868
2000,52.6981281282515,175.890881147541
2001,48.7809172700162,165.24051369863
2002,39.9158213689243,172.838941218553
2003,51.5924824200014,172.415711252654
2005,48.0638264495142,172.251958314246
2006,53.0069127152663,172.196606229661
2007,52.6450500695803,173.093243243243
2008,44.9401658518872,172.448409974834
2009,55.8413616360938,169.04801369863
2010,48.964706978003,166.244737442922
2011,67.0406844819411,166.840525114155
2012,63.2195507552763,172.669763205829
2013,38.4007397784859,166.730559360731
2014,69.8245885003678,172.334615823724
2015,52.8782651848683,172.213985614796
2016,51.3500744250048,174.021095173042
2017,43.4888230308287,172.966347031963
2018,39.0847316217204,170.267739726027
2019,52.384794804752,174.910034246575
2020,71.1281976257893,174.817805100182
2021,48.0591493340923,172.7275
2022,61.8905821642433,173.950165998855
2023,52.9840440959584,175.006834573555
2024,91.3762047780686,169.782137978142
2025,58.8327879562381,180.710399543379
