"storm_year","max_residual","mean_sea_level"
1847,59.5967194479112,399.233006179571
1848,95.6752018075052,396.761156648452
1849,53.0110007194914,400.084246575342
1850,62.8804809194019,399.95696347032
1851,75.8228094143022,395.8350456621
1852,88.3733793635158,394.813836175835
1853,66.5596944854873,405.238470319635
1854,73.2294030008529,397.030251141553
1855,54.9238894710552,394.154908675799
1856,48.1133356502129,400.780396174863
1857,82.6348696140644,400.012225548902
1861,53.7838963063259,399.360159817352
1862,53.4941674712776,401.892609126984
1863,50.7290567705366,395.262557077626
1865,52.9201555473175,398.845205479452
1866,116.099991882485,401.282191780822
1867,87.7941945484342,400.770091324201
1868,66.3203247985455,390.362043971974
1869,68.7748506460038,400.540388302972
1870,61.2139169213001,391.641324200913
1871,52.4365494035279,393.724086757991
1872,79.3015773246244,399.339865423209
1873,57.4442826607517,401.853196347032
1874,56.1181926133482,393.400164822227
1875,61.5197707633482,395.607762557078
1876,89.1255843051932,397.122495446266
1877,70.9822904458416,406.381849315069
1878,63.2205560680353,399.324057898677
1879,56.4233810259682,407.264205256571
1880,78.4779109119968,396.393214936248
1881,75.4230228408139,403.1850456621
1882,76.3117616829659,399.580936073059
1883,87.4775775328065,404.417808219178
1884,80.3472224193551,398.809881602914
1885,53.7176474305087,399.759703196347
1886,52.54184847365,399.578767123288
1887,59.523386982103,398.600114155251
1888,77.9018797330665,395.181600819765
1889,81.2675369138109,396.644863013699
1890,68.8137220719681,395.21803652968
1891,56.4435667865397,391.749200913242
1892,60.6499347233881,397.911370620774
1893,58.7349220303178,398.337785388128
1894,70.778514341494,395.619520547945
1895,74.704853068873,397.303196347032
1896,61.9442651144501,396.883993624772
1897,90.0620032654271,398.346560517477
1898,67.050180804334,396.706368072063
1899,69.0635006950795,398.433333333333
1900,85.4131707370736,399.283447488584
1901,51.4847786359162,396.478767123288
1902,53.211172478747,395.745091324201
1903,57.405954368735,399.258447488584
1904,85.0335516649786,401.822176684882
1905,74.3272281364491,395.223059360731
1906,60.1398224313266,396.999771689498
1907,85.3961590299766,395.031844756811
1908,64.7037485253092,397.46618852459
1909,54.3654829225196,400.423639689072
1910,79.9339792942928,400.392400568182
1911,154.634478110446,402.005571677307
1912,85.5743377802788,407.399134297756
1913,69.2045483609894,407.781471840984
1914,64.3752641762368,410.701255707763
1917,90.9931130501913,407.123248248248
1918,80.9601804842407,400.353424657534
1919,73.7453119990109,403.727168949772
1920,51.6194598724613,400.668146630237
1921,47.3613592597595,402.483596178197
1922,76.3112511108113,400.285502283105
1923,75.0959457683794,397.987296747967
1924,60.5619182436071,401.624766573296
1925,66.0509339472549,405.36997716895
1926,70.092810425674,407.541095890411
1927,66.3674323735778,404.150456621005
1928,77.9005928943361,410.302254098361
1929,51.861783145845,399.636757990868
1930,68.9736709934621,404.740525114155
1931,53.5948311381514,408.194406392694
1932,71.8794328915626,403.783697632058
1933,53.4668150205972,406.912557077626
1934,69.1360235884632,400.829566210046
1935,77.0283463570631,402.462557077626
1936,54.8593320726027,412.711634790528
1937,69.4127716227446,407.696232876712
1940,49.331021901821,407.913522925131
1941,88.7529664824157,409.1503102735
1942,82.8736996484521,405.217237442922
1943,89.135080081525,410.153196347032
1954,84.3058364252029,403.758447488584
1955,95.652949252986,410.227168949772
1956,113.903684836096,404.332232722304
1957,77.4532049077237,405.637619917771
1958,80.21743107716,406.386643835616
1959,72.4674300475585,409.813470319635
1960,81.1928410312092,410.759448998179
1961,65.8897968837958,413.787331877227
1962,62.417374197016,409.572721026111
1963,79.4195137885314,407.346118721461
1964,117.022780695679,408.748595022365
1965,75.5318402526757,402.288584474886
1966,69.1099516502219,417.760730593607
1967,68.2550722710958,410.302168949772
1968,72.7705675921597,410.461179417122
1969,56.0121603941339,416.115410958904
1970,104.456136915566,409.565068493151
1971,119.983096381558,407.350456621005
1972,50.3307290062811,407.213114754098
1973,73.5983174652446,403.795776255708
1974,68.3693879365088,408.677054794521
1975,61.8896304732767,405.487671232877
1976,92.8164804961837,401.414503642987
1977,84.6866050449278,413.300570776256
1978,75.0431125522886,408.537899543379
1979,91.2408155474984,408.890182648402
1980,71.2202699702565,406.772771435511
1981,65.2142109663505,407.200870646766
1982,61.4031727544456,410.940228174603
1983,130.352007591989,411.794797687861
1984,89.4600484002207,410.723816029144
1985,56.180275007299,412.712557077626
1986,53.6214799230333,410.221232876712
1987,62.949640782105,408.507762557078
1988,135.371885838464,416.498406193078
1989,63.9154275827308,411.995890410959
1990,84.0392983274791,414.474200913242
1991,55.874349259232,409.793835616438
1992,55.9152667185039,407.178392531876
1993,62.4976542271876,413.344920411985
1994,69.1166073017143,413.375114155251
1995,70.0245433464263,415.236757990868
1996,84.3489363779103,417.49556010929
1997,60.6011929339659,412.245205479452
1998,55.0780519500525,416.730707762557
1999,64.0457819903931,412.282762557078
2000,95.6339458591981,414.581967213115
2001,60.5180163170501,421.855966136598
2002,65.5930149522059,413.990182648402
2003,64.5249802968007,418.472716894977
2004,56.068844797797,415.417349726776
2005,78.1004658568894,412.463698630137
2006,86.0148457578622,411.791780821918
2007,65.9211874919678,418.08401826484
2008,64.2534967246767,415.408891165756
2009,58.9409194632274,415.910688509566
2010,65.8551961238167,419.606391493254
2011,55.1005981814026,417.039566210046
2012,71.8931336913362,413.429701730419
2013,46.23994163724,420.332393549136
2014,82.2344257067844,421.782830791061
2015,55.9961334548767,417.075403456564
2016,65.9642354873193,422.024111936037
2017,72.9301420763367,416.378295112347
2018,51.2834439561529,419.959195796207
2019,54.4745180527721,418.918775696665
2020,57.6850872449274,425.514647654961
2021,47.6249167980218,424.432366589327
2022,58.9327536457725,419.636709294359
2023,57.5737740278317,424.557275011421
2024,119.361261459562,431.690754285714
